,0
0,Unnamed: 0
1,CONTROL
2,TOTROOMS
3,PERPOVLVL
4,RENT
5,BATHEXCLU
6,DISHWASH
7,GARAGE
8,DINING
9,LAUNDY
10,STORIES
11,NOSTEP
12,GUTREHB
13,CONDO
14,SEARCHFAM
15,SEARCHLIST
16,SEARCHNET
17,SEARCHOTH
18,SEARCHPUB
19,SEARCHREA
20,SEARCHSIGN
21,RMCHANGE
22,RMCOMMUTE
23,RMCOSTS
24,RMFAMILY
25,RMHOME
26,RMHOOD
27,RMJOB
28,RMOWNHH
29,RMOTHER
30,HMRACCESS
31,HMRENEFF
32,HMRSALE
33,RATINGHS
34,RATINGNH
35,NHQPCRIME
36,NHQPUBTRN
37,NHQRISK
38,NHQSCHOOL
39,NHQSCRIME
40,NORC
41,SUBDIV
42,NOWIRE
43,TENURE
44,MHWIDE
45,PLUGS
46,PORCH
47,LEAKO
48,LEAKI
49,NOTOIL
50,PAINTPEEL
51,HOWBUY
52,OCCJANUR
53,OCCFEBRU
54,OCCMARCH
55,OCCAPRIL
56,OCCMAY
57,OCCJUNE
58,OCCJULY
59,OCCAUGUST
60,OCCSEPTEM
61,OCCOCTOB
62,OCCNOVEM
63,OCCDECEM
64,OCCYRRND
65,LEADINSP
66,MONLSTOCC
67,SUITYRRND
68,TIMESHARE
69,VACRESDAYS
70,VACRNTDAYS
71,PERMNEAR
72,VACPRIRES
73,VACREC
74,VACINVEST
75,VACSELL
76,VACINHER
77,VACOTH
78,OWNLOT
79,RENTCNTRL
80,RENTSUB
81,NEARABAND
82,NEARBARCL
83,NEARTRASH
84,INTLANG
85,DIVISION
86,OMB13CBSA
87,INTMODE
88,INTSTATUS
89,INTMONTH
90,BLD
91,ENTRYSYS
92,HHSEX
93,HHMAR
94,HHSPAN
95,HHCITSHP
96,MILHH
97,HHAGE
98,HHMOVE
99,HHINUSYR
100,HHRACE
101,HHRACEAS
102,HHRACEPI
103,HHGRAD
104,HHNATVTY
105,PARTNER
106,HSHLDTYPE
107,NUMELDERS
108,NUMADULTS
109,NUMNONREL
110,HHYNGKIDS
111,HHOLDKIDS
112,NUMVETS
113,NUMYNGKIDS
114,NUMOLDKIDS
115,NUMSUBFAM
116,NUMSECFAM
117,NUMPEOPLE
118,HHADLTKIDS
119,GRANDHH
120,MULTIGEN
121,UFINROOMS
122,MHANCHOR
123,LOTSIZE
124,FINROOMS
125,YRBUILT
126,HOA
127,FOUNDTYPE
128,UNITFLOORS
129,UNITSIZE
130,BEDROOMS
131,KITCHENS
132,WATSOURCE
133,SEWUSERS
134,KITEXCLU
135,FRIDGE
136,KITCHSINK
137,WASHER
138,COOKTYPE
139,COOKFUEL
140,DRYER
141,SEWTYPE
142,BATHROOMS
143,HOTWATER
144,HEATFUEL
145,FIREPLACE
146,ACPRIMARY
147,ACSECNDRY
148,HEATTYPE
149,COLD
150,COLDEQ
151,NOWAT
152,COLDUTIL
153,COLDHTCAP
154,COLDINSUL
155,COLDCOST
156,COLDOTHER
157,LEAKOROOF
158,LEAKOBASE
159,LEAKOWALL
160,LEAKOOTH
161,LEAKIPLUM
162,LEAKIPIPE
163,LEAKIWATH
164,LEAKIOTH
165,LEAKIDK
166,WALLCRACK
167,FLOORHOLE
168,FNDCRUMB
169,ROOFSHIN
170,ROOFHOLE
171,ROOFSAG
172,WALLSIDE
173,WALLSLOPE
174,WINBOARD
175,WINBROKE
176,WINBARS
177,COLDEQFREQ
178,NOWATFREQ
179,NOTOILFREQ
180,MOLDKITCH
181,MOLDBATH
182,MOLDBEDRM
183,MOLDBASEM
184,MOLDLROOM
185,MOLDOTHER
186,RODENT
187,ROACH
188,SEWBREAK
189,FUSEBLOW
190,VACMONTHS
191,DWNPAYPCT
192,MHMOVE
193,ELECAMT
194,GASAMT
195,OILAMT
196,OTHERAMT
197,TRASHAMT
198,WATERAMT
199,UTILAMT
200,REMODJOBS
201,FS
202,HHHEAR
203,HHSEE
204,HHMEMRY
205,HHWALK
206,HHCARE
207,HHERRND
208,NUMHEAR
209,NUMSEE
210,NUMMEMRY
211,NUMWALK
212,NUMCARE
213,NUMERRND
214,DISHH
215,MVG1TYPE
216,MVG2TYPE
217,MVG3TYPE
218,MVG1TEN
219,MVG2TEN
220,MVG3TEN
221,MVG1PER
222,MVG2PER
223,MVG3PER
224,MVG1COST
225,MVG2COST
226,MVG3COST
227,MVG1STAT
228,MVG2STAT
229,MVG3STAT
230,MVG1LOC
231,MVG2LOC
232,MVG3LOC
233,SEARCHSTOP
234,MOVFORCE
235,HRATE
236,NRATE
237,MGRONSITE
238,ADEQUACY
239,POVLVLINC
240,HUDSUB
241,UPKEEP
242,SPLITSAMP
243,VACANCY
244,FIRSTHOME
245,MARKETVAL
246,TOTBALAMT
247,PROTAXAMT
248,INSURAMT
249,HOAAMT
250,LOTAMT
251,MAINTAMT
252,MORTAMT
253,HINCP
254,FINCP
255,REMODAMT
256,TOTHCAMT
257,YEAR
