Variable,Nonexperience variables
RATINGHS,TRUE
RATINGNH,TRUE
TOTROOMS,TRUE
PERPOVLVL,TRUE
DINING,TRUE
LAUNDY,TRUE
STORIES,TRUE
HHAGE,TRUE
HHMOVE,TRUE
PARTNER,TRUE
NUMELDERS,TRUE
NUMADULTS,TRUE
NUMNONREL,TRUE
HHYNGKIDS,TRUE
HHOLDKIDS,TRUE
NUMVETS,TRUE
NUMYNGKIDS,TRUE
NUMOLDKIDS,TRUE
NUMSUBFAM,TRUE
NUMSECFAM,TRUE
NUMPEOPLE,TRUE
HHADLTKIDS,TRUE
MULTIGEN,TRUE
UFINROOMS,TRUE
LOTSIZE,TRUE
FINROOMS,TRUE
UNITSIZE,TRUE
BEDROOMS,TRUE
KITCHENS,TRUE
BATHROOMS,TRUE
MVG1PER,FALSE
MVG2PER,FALSE
MVG3PER,FALSE
HINCP,TRUE
FINCP,TRUE
DIVISION,TRUE
OMB13CBSA,TRUE
BLD,TRUE
HHMAR,TRUE
MILHH,TRUE
HHRACE,TRUE
HHNATVTY,TRUE
HSHLDTYPE,TRUE
COOKFUEL,TRUE
FIREPLACE,TRUE
NUMHEAR,TRUE
NUMSEE,TRUE
NUMMEMRY,TRUE
NUMWALK,TRUE
NUMCARE,TRUE
NUMERRND,TRUE
MVG1COST,TRUE
MVG2COST,TRUE
MVG3COST,TRUE
BATHEXCLU,TRUE
NOSTEP,TRUE
CONDO,TRUE
SEARCHFAM,TRUE
SEARCHLIST,TRUE
SEARCHNET,TRUE
SEARCHOTH,TRUE
SEARCHPUB,TRUE
SEARCHREA,TRUE
SEARCHSIGN,TRUE
RMCHANGE,TRUE
RMCOMMUTE,TRUE
RMCOSTS,TRUE
RMFAMILY,TRUE
RMHOME,TRUE
RMHOOD,TRUE
RMJOB,TRUE
RMOWNHH,TRUE
RMOTHER,TRUE
OWNLOT,TRUE
HHSEX,TRUE
KITEXCLU,TRUE
FRIDGE,TRUE
KITCHSINK,TRUE
WASHER,TRUE
WINBARS,TRUE
HHHEAR,TRUE
HHSEE,TRUE
HHMEMRY,TRUE
HHWALK,TRUE
HHCARE,TRUE
HHERRND,TRUE
FIRSTHOME,TRUE
ELECAMT,TRUE
GASAMT,TRUE
OILAMT,TRUE
OTHERAMT,TRUE
TRASHAMT,TRUE
WATERAMT,TRUE
UTILAMT,TRUE
CONTROL,FALSE
YEAR,FALSE
MONLSTOCC,FALSE
HHINUSYR,FALSE
UNITFLOORS,FALSE
SEWUSERS,FALSE
COLDEQFREQ,FALSE
NOWATFREQ,FALSE
NOTOILFREQ,FALSE
VACMONTHS,FALSE
REMODJOBS,FALSE
POVLVLINC,FALSE
MARKETVAL,FALSE
TOTBALAMT,FALSE
PROTAXAMT,FALSE
INSURAMT,FALSE
HOAAMT,FALSE
LOTAMT,FALSE
MAINTAMT,FALSE
MORTAMT,FALSE
REMODAMT,FALSE
TOTHCAMT,FALSE
TENURE,FALSE
HOWBUY,FALSE
VACRESDAYS,FALSE
VACRNTDAYS,FALSE
INTLANG,FALSE
INTSTATUS,FALSE
INTMONTH,FALSE
HHRACEAS,FALSE
HHRACEPI,FALSE
HHGRAD,FALSE
MHANCHOR,FALSE
FOUNDTYPE,FALSE
COOKTYPE,FALSE
DRYER,FALSE
SEWTYPE,FALSE
HOTWATER,FALSE
HEATFUEL,FALSE
ACPRIMARY,FALSE
ACSECNDRY,FALSE
HEATTYPE,FALSE
COLD,FALSE
RODENT,FALSE
ROACH,FALSE
SEWBREAK,FALSE
FUSEBLOW,FALSE
DWNPAYPCT,FALSE
MVG1TYPE,FALSE
MVG2TYPE,FALSE
MVG3TYPE,FALSE
MVG1TEN,FALSE
MVG2TEN,FALSE
MVG3TEN,FALSE
MVG1STAT,FALSE
MVG2STAT,FALSE
MVG3STAT,FALSE
SEARCHSTOP,FALSE
HRATE,FALSE
NRATE,FALSE
MGRONSITE,FALSE
ADEQUACY,FALSE
HUDSUB,FALSE
UPKEEP,FALSE
VACANCY,FALSE
DISHWASH,FALSE
GARAGE,FALSE
GUTREHB,FALSE
HMRACCESS,FALSE
HMRENEFF,FALSE
HMRSALE,FALSE
NHQPCRIME,FALSE
NHQPUBTRN,FALSE
NHQRISK,FALSE
NHQSCHOOL,FALSE
NHQSCRIME,FALSE
NORC,FALSE
SUBDIV,FALSE
NOWIRE,FALSE
MHWIDE,FALSE
PLUGS,FALSE
PORCH,FALSE
LEAKO,FALSE
LEAKI,FALSE
NOTOIL,FALSE
PAINTPEEL,FALSE
OCCJANUR,FALSE
OCCFEBRU,FALSE
OCCMARCH,FALSE
OCCAPRIL,FALSE
OCCMAY,FALSE
OCCJUNE,FALSE
OCCJULY,FALSE
OCCAUGUST,FALSE
OCCSEPTEM,FALSE
OCCOCTOB,FALSE
OCCNOVEM,FALSE
OCCDECEM,FALSE
OCCYRRND,FALSE
LEADINSP,FALSE
SUITYRRND,FALSE
TIMESHARE,FALSE
PERMNEAR,FALSE
VACPRIRES,FALSE
VACREC,FALSE
VACINVEST,FALSE
VACSELL,FALSE
VACINHER,FALSE
VACOTH,FALSE
RENTCNTRL,FALSE
RENTSUB,FALSE
NEARABAND,FALSE
NEARBARCL,FALSE
NEARTRASH,FALSE
INTMODE,FALSE
ENTRYSYS,FALSE
HHSPAN,FALSE
HHCITSHP,FALSE
GRANDHH,FALSE
HOA,FALSE
WATSOURCE,FALSE
COLDEQ,FALSE
NOWAT,FALSE
COLDUTIL,FALSE
COLDHTCAP,FALSE
COLDINSUL,FALSE
COLDCOST,FALSE
COLDOTHER,FALSE
LEAKOROOF,FALSE
LEAKOBASE,FALSE
LEAKOWALL,FALSE
LEAKOOTH,FALSE
LEAKIPLUM,FALSE
LEAKIPIPE,FALSE
LEAKIWATH,FALSE
LEAKIOTH,FALSE
LEAKIDK,FALSE
WALLCRACK,FALSE
FLOORHOLE,FALSE
FNDCRUMB,FALSE
ROOFSHIN,FALSE
ROOFHOLE,FALSE
ROOFSAG,FALSE
WALLSIDE,FALSE
WALLSLOPE,FALSE
WINBOARD,FALSE
WINBROKE,FALSE
MOLDKITCH,FALSE
MOLDBATH,FALSE
MOLDBEDRM,FALSE
MOLDBASEM,FALSE
MOLDLROOM,FALSE
MOLDOTHER,FALSE
MHMOVE,FALSE
FS,FALSE
DISHH,FALSE
MVG1LOC,FALSE
MVG2LOC,FALSE
MVG3LOC,FALSE
MOVFORCE,FALSE
SPLITSAMP,FALSE
RENT,FALSE
YRBUILT,FALSE
